sno,dvcat,weight,Survived,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity,caseid
0,55+,27.078,Not_Survived,none,none,1,m,32,1997,1987,unavail,driver,0,4,2:13:02
1,25-39,89.627,Not_Survived,airbag,belted,0,f,54,1997,1994,nodeploy,driver,0,4,2:17:01
2,55+,27.078,Not_Survived,none,belted,1,m,67,1997,1992,unavail,driver,0,4,0.138206019
3,55+,27.078,Not_Survived,none,belted,1,f,64,1997,1992,unavail,pass,0,4,0.138206019
4,55+,13.374,Not_Survived,none,none,1,m,23,1997,1986,unavail,driver,0,4,4:58:01
5,25-39,12.383,Not_Survived,none,belted,0,f,77,1997,1992,unavail,pass,0,4,0.233356481
6,55+,13.374,Not_Survived,none,none,0,m,34,1997,1990,unavail,driver,0,4,0.236122685
7,24-Oct,13.374,Not_Survived,airbag,belted,1,m,37,1997,1995,deploy,driver,1,4,0.238912037
8,40-54,13.374,Not_Survived,none,none,0,f,33,1997,1987,unavail,driver,0,4,0.262511574
9,25-39,15.355,Not_Survived,airbag,none,1,f,84,1997,1996,deploy,driver,1,4,0.26806713
10,24-Oct,15.355,Not_Survived,none,none,0,m,87,1997,1981,unavail,driver,0,4,0.268773148
11,40-54,29.655,Not_Survived,none,belted,1,f,38,1997,1989,unavail,driver,0,4,5:26:02
12,40-54,29.655,Not_Survived,none,none,1,m,75,1997,1986,unavail,driver,0,4,5:32:01
13,40-54,31.408,Not_Survived,none,none,0,m,37,1997,1987,unavail,driver,0,4,0.262511574
14,24-Oct,29.655,Not_Survived,none,none,1,m,19,1997,1989,unavail,driver,0,4,0.271550926
15,25-39,29.655,Not_Survived,none,none,1,m,22,1997,1981,unavail,pass,0,4,0.273622685
16,55+,29.655,Not_Survived,none,none,1,f,76,1997,1993,unavail,driver,0,4,0.293761574
17,25-39,11.652,Not_Survived,none,belted,0,f,17,1997,1989,unavail,pass,0,4,6:14:01
18,55+,14.592,Not_Survived,none,none,0,m,33,1997,1987,unavail,pass,0,4,6:24:02
19,40-54,22.485,Not_Survived,none,belted,0,m,62,1997,1987,unavail,driver,0,3,6:26:02
20,25-39,7.532,Not_Survived,airbag,belted,0,f,63,1997,1995,deploy,pass,1,3,6:38:02
21,40-54,15.273,Not_Survived,airbag,belted,0,m,70,1997,1990,deploy,driver,1,4,6:44:02
22,55+,10.245,Not_Survived,none,belted,0,f,26,1997,1990,unavail,driver,0,4,6:50:02
23,55+,6.043,Not_Survived,airbag,none,0,f,41,1997,1993,nodeploy,driver,0,4,0.315300926
24,55+,7.651,Not_Survived,airbag,none,0,f,22,1997,1994,deploy,pass,1,4,0.31806713
25,55+,9.967,Not_Survived,none,none,0,m,47,1997,1994,unavail,pass,0,4,0.320856481
26,55+,7.757,Not_Survived,airbag,belted,0,f,25,1997,1994,deploy,driver,1,4,0.334756944
27,40-54,12.536,Not_Survived,airbag,none,1,m,27,1997,1995,deploy,pass,1,4,0.337511574
28,25-39,12.536,Not_Survived,none,none,1,m,50,1997,1988,unavail,driver,0,4,0.338206019
29,24-Oct,28.449,Not_Survived,airbag,none,0,m,26,1997,1995,nodeploy,driver,0,4,8:15:01
30,40-54,28.449,Not_Survived,none,none,0,f,20,1997,1984,unavail,pass,0,4,8:19:01
31,40-54,28.449,Not_Survived,none,none,1,m,38,1997,1991,unavail,driver,0,4,8:43:01
32,25-39,28.449,Not_Survived,none,belted,0,f,77,1997,1981,unavail,pass,0,4,8:51:01
33,40-54,138.832,Not_Survived,none,belted,0,m,39,1997,1988,unavail,driver,0,4,0.404884259
34,25-39,28.449,Not_Survived,airbag,none,0,m,21,1997,1993,deploy,driver,1,4,0.427094907
35,25-39,28.449,Not_Survived,none,belted,0,f,62,1997,1988,unavail,pass,0,4,0.438217593
36,25-39,42.012,Not_Survived,airbag,belted,0,m,26,1997,1994,deploy,driver,1,4,9:11:01
37,55+,42.075,Not_Survived,none,belted,0,m,26,1997,1990,unavail,driver,0,4,9:20:01
38,24-Oct,72.194,Not_Survived,none,none,0,m,26,1997,1994,unavail,driver,0,4,9:40:01
39,55+,93.147,Not_Survived,none,none,0,f,56,1997,1987,unavail,driver,0,4,9:58:02
40,25-39,16.779,Not_Survived,none,none,0,m,19,1997,1987,unavail,driver,0,4,0.416678241
41,25-39,31.692,Not_Survived,none,belted,0,f,86,1997,1989,unavail,pass,0,4,0.422233796
42,25-39,22.362,Not_Survived,airbag,none,0,m,27,1997,1995,nodeploy,pass,0,4,0.433344907
43,40-54,77.87,Not_Survived,none,none,1,m,49,1997,1993,unavail,pass,0,4,0.451412037
44,25-39,117.704,Not_Survived,none,belted,0,m,45,1997,1981,unavail,driver,0,4,0.459733796
45,25-39,58.967,Not_Survived,airbag,none,0,m,81,1997,1997,deploy,driver,1,4,11:11:01
46,40-54,58.967,Not_Survived,none,belted,0,f,26,1997,1990,unavail,driver,0,4,11:12:01
47,40-54,49.775,Not_Survived,airbag,belted,0,f,37,1997,1994,deploy,pass,1,4,11:53:01
48,55+,51.366,Not_Survived,airbag,belted,0,f,27,1997,1996,deploy,driver,1,4,0.516678241
49,40-54,51.366,Not_Survived,airbag,none,1,m,49,1997,1993,deploy,driver,1,4,0.533344907
50,55+,51.366,Not_Survived,none,none,1,m,30,1997,1988,unavail,driver,0,4,0.556956019
